Punktnummer,Ost,Nord,Höhe,Hz-Winkel,V-Winkel,Schrägdistanz,Horizontaldistanz,Code & Punkt Info,Zeitstempel
3_TS091413233248,2601405.6356,1144078.3747,1113.6360,111.2088 g,84.4482 g,140.2911,136.1252,,14.09.2022 13:23:32
3_TS091413233168,2601405.6389,1144078.3741,1113.6368,111.2088 g,84.4482 g,140.2945,136.1285,,14.09.2022 13:23:32
3_TS091413233088,2601405.6349,1144078.3748,1113.6358,111.2088 g,84.4482 g,140.2903,136.1244,,14.09.2022 13:23:31
3_TS091413233012,2601405.6252,1144078.3765,1113.6333,111.2088 g,84.4481 g,140.2802,136.1146,,14.09.2022 13:23:30
3_TS091413232936,2601405.6147,1144078.3784,1113.6307,111.2088 g,84.4481 g,140.2692,136.1039,,14.09.2022 13:23:29
3_TS091413232856,2601405.6227,1144078.3770,1113.6326,111.2088 g,84.4482 g,140.2775,136.1120,,14.09.2022 13:23:29
3_TS091413232761,2601405.6224,1144078.3770,1113.6325,111.2088 g,84.4482 g,140.2772,136.1117,,14.09.2022 13:23:28
3_TS091413232675,2601405.6307,1144078.3756,1113.6346,111.2088 g,84.4482 g,140.2859,136.1201,,14.09.2022 13:23:27
3_TS091413232594,2601405.6356,1144078.3747,1113.6359,111.2088 g,84.4482 g,140.2910,136.1251,,14.09.2022 13:23:26
3_TS091413232533,2601405.6264,1144078.3763,1113.6336,111.2088 g,84.4482 g,140.2814,136.1158,,14.09.2022 13:23:25
3_TS091413232446,2601405.6213,1144078.3772,1113.6322,111.2088 g,84.4482 g,140.2761,136.1107,,14.09.2022 13:23:24
3_TS091413232368,2601405.6167,1144078.3781,1113.6309,111.2087 g,84.4483 g,140.2712,136.1059,,14.09.2022 13:23:24
3_TS091413232297,2601405.6173,1144078.3780,1113.6315,111.2087 g,84.4481 g,140.2719,136.1065,,14.09.2022 13:23:23
3_TS091413232203,2601405.6244,1144078.3767,1113.6333,111.2088 g,84.4481 g,140.2794,136.1138,,14.09.2022 13:23:22
3_TS091413232110,2601405.6304,1144078.3756,1113.6345,111.2088 g,84.4482 g,140.2856,136.1199,,14.09.2022 13:23:21
3_TS091413232028,2601405.6351,1144078.3747,1113.6350,111.2088 g,84.4485 g,140.2904,136.1247,,14.09.2022 13:23:20
3_TS091413231955,2601405.6318,1144078.3753,1113.6345,111.2088 g,84.4484 g,140.2870,136.1213,,14.09.2022 13:23:20
3_TS091413231870,2601405.6173,1144078.3779,1113.6307,111.2088 g,84.4484 g,140.2718,136.1066,,14.09.2022 13:23:19
3_TS091413231792,2601405.6169,1144078.3780,1113.6302,111.2088 g,84.4486 g,140.2712,136.1061,,14.09.2022 13:23:18
3_TS091413231710,2601405.6130,1144078.3787,1113.6296,111.2088 g,84.4484 g,140.2673,136.1022,,14.09.2022 13:23:17
3_TS091413231647,2601405.6149,1144078.3784,1113.6299,111.2088 g,84.4485 g,140.2692,136.1041,,14.09.2022 13:23:16
3_TS091413231571,2601405.6261,1144078.3763,1113.6333,111.2088 g,84.4483 g,140.2811,136.1155,,14.09.2022 13:23:16
3_TS091413231506,2601405.6316,1144078.3757,1113.6336,111.2086 g,84.4487 g,140.2865,136.1210,,14.09.2022 13:23:15
3_TS091413231408,2601405.6321,1144078.3754,1113.6345,111.2087 g,84.4484 g,140.2872,136.1215,,14.09.2022 13:23:14
3_TS091413231344,2601405.6281,1144078.3760,1113.6334,111.2088 g,84.4484 g,140.2830,136.1175,,14.09.2022 13:23:13
3_TS091413231248,2601405.6148,1144078.3784,1113.6299,111.2088 g,84.4485 g,140.2691,136.1040,,14.09.2022 13:23:12
3_TS091413231171,2601405.6142,1144078.3786,1113.6303,111.2087 g,84.4483 g,140.2686,136.1034,,14.09.2022 13:23:12
3_TS091413231109,2601405.6138,1144078.3785,1113.6303,111.2088 g,84.4482 g,140.2682,136.1030,,14.09.2022 13:23:11
3_TS091413231039,2601405.6164,1144078.3780,1113.6305,111.2088 g,84.4484 g,140.2708,136.1056,,14.09.2022 13:23:10
3_TS091413230912,2601405.6292,1144078.3760,1113.6330,111.2087 g,84.4487 g,140.2840,136.1186,,14.09.2022 13:23:09
3_TS091413230830,2601405.6331,1144078.3757,1113.6342,111.2085 g,84.4486 g,140.2881,136.1225,,14.09.2022 13:23:08
3_TS091413230763,2601405.6348,1144078.3753,1113.6346,111.2085 g,84.4486 g,140.2899,136.1243,,14.09.2022 13:23:08
3_TS091413230681,2601405.6221,1144078.3774,1113.6314,111.2086 g,84.4487 g,140.2766,136.1114,,14.09.2022 13:23:07
3_TS091413230665,2601405.6133,1144078.3789,1113.6296,111.2087 g,84.4484 g,140.2675,136.1024,,14.09.2022 13:23:07
3_TS091413230532,2601405.6160,1144078.3783,1113.6303,111.2087 g,84.4485 g,140.2704,136.1053,,14.09.2022 13:23:05
3_TS091413230450,2601405.6144,1144078.3786,1113.6301,111.2087 g,84.4483 g,140.2687,136.1035,,14.09.2022 13:23:05
3_TS091413230376,2601405.6289,1144078.3760,1113.6338,111.2087 g,84.4483 g,140.2839,136.1183,,14.09.2022 13:23:04
3_TS091413230311,2601405.6412,1144078.3739,1113.6371,111.2087 g,84.4483 g,140.2968,136.1308,,14.09.2022 13:23:03
